********************************************************************************
product = Open Liberty 26.0.0.7 (wlp-1.0.115.cl260720260702-0043)
wlp.install.dir = /home/matias/POO/SimuladorPresupuestoJSF/target/liberty/wlp/
java.home = /usr/lib/jvm/java-21-openjdk
java.version = 21.0.11
java.runtime = OpenJDK Runtime Environment (21.0.11+10)
os = Linux (7.1.4-1-cachyos; amd64) (es_EC)
process = 11441@cachyos
Classpath = /home/matias/POO/SimuladorPresupuestoJSF/target/liberty/wlp/bin/tools/ws-server.jar
Java Library path = /usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib
********************************************************************************
[27/7/26, 00:24:32:910 ECT] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: El servidor defaultServer se ha lanzado.
[27/7/26, 00:24:33:750 ECT] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: El kernel se ha iniciado después de 1,079 segundos
[27/7/26, 00:24:33:771 ECT] 00000034 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: La actualización de características se ha iniciado.
[27/7/26, 00:24:34:794 ECT] 00000029 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Supervisando aplicaciones de dropins.
[27/7/26, 00:24:35:052 ECT] 00000029 org.jboss.weld.Version                                       I WELD-000900: 5.1.1 (SP2)
[27/7/26, 00:24:35:290 ECT] 00000038 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Iniciando la aplicación SimuladorPresupuestoJSF.
[27/7/26, 00:24:35:292 ECT] 00000038 bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: La aplicación SimuladorPresupuestoJSF está utilizando la definición de aplicación dinámica en la ubicación /home/matias/POO/SimuladorPresupuestoJSF/target/liberty/wlp/usr/servers/defaultServer/apps/SimuladorPresupuestoJSF.war.xml.
[27/7/26, 00:24:38:271 ECT] 00000038 org.jboss.weld.Event                                         I WELD-000411: Observer method [BackedAnnotatedMethod] org.apache.myfaces.config.annotation.CdiAnnotationProviderExtension.processAnnotatedType(@Observes ProcessAnnotatedType<T>) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
[27/7/26, 00:24:38:348 ECT] 00000038 org.hibernate.validator.internal.util.Version                I HV000001: Hibernate Validator 7.0.4.Final
[27/7/26, 00:24:39:020 ECT] 00000038 com.ibm.ws.session.WASSessionCore                            I SESN8501I: El gestor de sesiones no ha encontrado una ubicación de almacenamiento persistente; los objetos HttpSession se almacenarán en la memoria del servidor de aplicaciones local.
[27/7/26, 00:24:39:029 ECT] 00000038 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Cargando módulo web: SimuladorPresupuestoJSF.
[27/7/26, 00:24:39:033 ECT] 00000038 com.ibm.ws.webcontainer                                      I SRVE0250I: El módulo web SimuladorPresupuestoJSF se ha enlazado con default_host.
[27/7/26, 00:24:39:034 ECT] 00000038 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Aplicación web disponible (default_host): http://localhost:9080/
[27/7/26, 00:24:39:060 ECT] 0000003b com.ibm.ws.session.WASSessionCore                            I SESN0176I: Se creará un nuevo contexto de sesión para la clave de aplicación default_host/
[27/7/26, 00:24:39:070 ECT] 0000003b com.ibm.ws.util                                              I SESN0172I: El gestor de sesiones está utilizando la implementación de SecureRandom Java por omisión para la generación del ID de sesión.
[27/7/26, 00:24:39:151 ECT] 0000003b org.apache.myfaces.webapp.MyFacesContainerInitializer        I Using io.openliberty.faces40.internal.ee.WASMyFacesContainerInitializer
[27/7/26, 00:24:39:302 ECT] 00000037 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: Se ha generado automáticamente un archivo de configuración para un plug-in de servidor web para este servidor en /home/matias/POO/SimuladorPresupuestoJSF/target/liberty/wlp/usr/servers/defaultServer/logs/state/plugin-cfg.xml.
[27/7/26, 00:24:39:399 ECT] 0000003b org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Found jakarta.faces.application.ApplicationFactory factory implementation: io.openliberty.faces40.internal.config.WASApplicationFactoryImpl
[27/7/26, 00:24:39:547 ECT] 0000003b org.apache.myfaces.util.ExternalSpecifications               I MyFaces Core CDI support enabled
